Front Offset, Back Offset, Side Offset, Top Offset, Ahmed Target Size, Mesh Base, Mesh Max Tet, Mesh Min, Mesh Target, Prism Layer Thickness, cd*A [], cl*A [], Drag [N], Lift [N], Maximum Memory [MiB], Total Solver Elapsed Time [min], Total Meshing Time [min], Cell Count, Face Count, Vertex Count, Iteration, Continuity, X-momentum, Y-momentum, Z-momentum, Tdr, Tke, Error, Comment
6.5 m, 5.0 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 350.0 mm, 3.0 mm, 100.0 mm, 20.0 mm, 0.29816127106208146, 0.36002628033100165, 16.805385112764103, 20.2923078175994, 16489.5234375, 16.46009078218337, 0.645, 1241130, 3704363, 1314914, 1000, 6.906089090464331E-4, 1.0442355306357177E-4, 7.817029291081259E-4, 4.413689599867523E-4, 0.007677102969111231, 0.0021854415926225584, N/A , N/A
3.0 m, 1.0 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 350.0 mm, 3.0 mm, 100.0 mm, 20.0 mm, 0.29976046109161336, 0.3746016186302718, 16.895520911484855, 21.11382354429167, 16489.5234375, 14.63141822366667, 0.36765, 1122018, 3351412, 1185935, 1000, 6.069907246118583E-4, 1.2322698543652862E-4, 0.001074732201696867, 0.0011312311451036241, 0.007224231824005471, 0.0061336466134587035, N/A , N/A
3.5 m, 1.5 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 350.0 mm, 3.0 mm, 100.0 mm, 20.0 mm, 0.2988313303249279, 0.36510696369492196, 16.843151935800503, 20.578672442564113, 16489.5234375, 14.738897494949972, 0.38656666666666667, 1135593, 3391190, 1200576, 1000, 6.526610087736414E-4, 1.0872998945732312E-4, 7.328461054644016E-4, 4.4725725854087426E-4, 0.009494171066897622, 0.0014438234202291433, N/A , N/A
4.0 m, 2.0 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 350.0 mm, 3.0 mm, 100.0 mm, 20.0 mm, 0.29453977248723007, 0.3672896545962817, 16.601265114150895, 20.701696338487338, 16489.5234375, 15.328862859149991, 0.44038333333333335, 1166594, 3483907, 1234525, 1000, 6.706254181283667E-4, 1.1297120735659057E-4, 7.383406705106378E-4, 4.3352969805311644E-4, 0.008609597196605232, 0.004371638059175176, N/A , N/A
4.5 m, 2.5 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 350.0 mm, 3.0 mm, 100.0 mm, 20.0 mm, 0.2977158271749748, 0.3612485038905598, 16.78027837759931, 20.36119650169678, 16489.5234375, 15.500683086416656, 0.46241666666666664, 1182550, 3531599, 1252173, 1000, 7.984419008784395E-4, 1.1008286948386992E-4, 7.898535025066691E-4, 4.4537395256048464E-4, 0.02600126948781429, 9.2672184386201E-4, N/A , N/A
5.0 m, 3.0 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 350.0 mm, 3.0 mm, 100.0 mm, 20.0 mm, 0.2935136077288839, 0.38465666001621973, 16.543426972088632, 21.680559935687224, 16489.5234375, 15.436196956133337, 0.5017, 1189386, 3551627, 1259372, 1000, 8.376259673826453E-4, 1.1365151255747337E-4, 8.383986385339372E-4, 4.87824951214727E-4, 0.01356624439025177, 0.009801282474424768, N/A , N/A
5.5 m, 3.5 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 350.0 mm, 3.0 mm, 100.0 mm, 20.0 mm, 0.29984141688272353, 0.360040364168446, 16.900083855699137, 20.2931016306633, 16489.5234375, 15.962846290366638, 0.5394666666666666, 1214821, 3626988, 1287098, 1000, 8.146893341810937E-4, 1.0272262199732013E-4, 7.748864059241047E-4, 4.4320775288628016E-4, 0.005033348041064477, 8.956378337946288E-4, N/A , N/A
6.0 m, 4.0 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 350.0 mm, 3.0 mm, 100.0 mm, 20.0 mm, 0.29824505401423895, 0.3704609496613426, 16.81010740540753, 20.880441333384606, 16489.5234375, 16.083460826683368, 0.5649666666666666, 1218411, 3637395, 1290699, 1000, 7.998305929862456E-4, 9.869606023266273E-5, 7.627083767620104E-4, 4.5952680053501266E-4, 0.007029094129127186, 0.0014161666978156607, N/A , N/A
6.5 m, 4.5 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 350.0 mm, 3.0 mm, 100.0 mm, 20.0 mm, 0.29924349096534997, 0.3614563508371485, 16.866382713781636, 20.372911463769128, 16489.5234375, 16.40377601316666, 0.6139166666666667, 1240472, 3702720, 1314141, 1000, 7.442386605335488E-4, 9.429484323094282E-5, 7.293335849077974E-4, 4.109328464472842E-4, 0.005952973718702964, 9.248719025431176E-4, N/A , N/A
7.0 m, 5.0 m, 2.0 m, 3.0 m, 5.0 mm, 200.0 mm, 350.0 mm, 3.0 mm, 100.0 mm, 20.0 mm, 0.2994972661564543, 0.3695809158701151, 16.880686348198612, 20.83083963051709, 16489.5234375, 16.47848669591667, 0.6366333333333334, 1247244, 3722302, 1321402, 1000, 7.853956171480329E-4, 1.0000284955423669E-4, 7.883260566828851E-4, 4.458392109108363E-4, 0.009795529683501397, 0.00217362665836865, N/A , N/A
