Back Offset, Front Offset, Side Offset, Top Offset, Mesh Base, Mesh Max Tet, Mesh Min, Mesh Target, Prism Layer Thickness, DF CIA [], DF [N], Drag [N], Maximum Memory [MiB], Total Solver Elapsed Time [min], Cell Count, Face Count, Vertex Count, Iteration, Continuity, Energy, Tdr, Tke, X-momentum, Y-momentum, Z-momentum, Error, Comment
3.0 m, 3.0 m, 1.0 m, 1.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.138181973030666,2.7013135629113,5.33104217885595,7727.69140625,9.28888413526667,267576,797674,306918,1000,9.93858840566872E-06,7.80271771810059E-06,6.52265249975693E-07,5.84661058980344E-07,1.8478358758564E-07,0.00032541797055173,2.21691176230018E-05, N/A , N/A
3.0 m, 3.0 m, 2.0 m, 2.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.134231273510985,2.62408150462297,5.12625182907176,7727.69140625,11.4797297167833,345759,1029869,397649,1000,1.69965006910537E-06,1.34640386022494E-06,2.27006348417657E-07,1.53430168037019E-07,3.28163343692173E-08,0.000111006642085322,4.90429823464871E-06, N/A , N/A
3.0 m, 3.0 m, 3.0 m, 3.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.143194613987305,2.79930546956303,5.03387493358389,7727.69140625,14.49909923455,443023,1319003,508622,1000,2.62389660788698E-06,2.06818900427116E-06,4.01782683130655E-07,3.39552168325061E-07,4.36018080847221E-08,0.000310047218048177,9.4654479813997E-06, N/A , N/A
3.0 m, 3.0 m, 4.0 m, 4.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.125833823179834,2.45992010226421,5.06714342676456,7727.69140625,18.9587144687667,557804,1660458,638389,1000,5.05869130257373E-06,3.97415346181527E-06,1.22338687364211E-06,6.35643923657081E-07,9.91703476396091E-08,0.000533528157075672,1.86823439420293E-05, N/A , N/A
3.0 m, 3.0 m, 5.0 m, 5.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.135560903323317,2.65007438174672,5.0999546133966,7727.69140625,23.6317486039,689120,2051873,786169,1000,6.6686341663964E-06,5.23773797805848E-06,5.91030010905714E-07,6.88157324755374E-07,1.167843086132E-07,0.000674014365604678,2.53681753487987E-05, N/A , N/A
4.0 m, 4.0 m, 1.0 m, 1.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.162640290823942,3.17944818591532,5.33782802165392,7727.69140625,9.91991034271669,289167,860759,332055,1000,4.33522545960898E-05,3.40266915237069E-05,1.61802806104817E-06,2.76808510311316E-06,7.31521517386118E-07,0.00142331316112453,8.83524375787533E-05, N/A , N/A
4.0 m, 4.0 m, 2.0 m, 2.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.13289218789284,2.59790377635017,5.11910227801508,7727.69140625,12.6082893505833,386262,1149468,444314,1000,1.23101940140793E-06,1.08943992365906E-06,3.24883373362831E-07,2.22336088458232E-07,5.21313052036388E-08,6.32250251551915E-05,3.81543941918489E-06, N/A , N/A
4.0 m, 4.0 m, 3.0 m, 3.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.136752865092342,2.67337599209804,5.0727449761154,7727.69140625,16.9935960214667,507519,1510507,582297,1000,3.9308730643037E-06,3.09587026545162E-06,9.02704962492037E-07,6.20183146722424E-07,1.26957815321084E-07,0.000248241136335649,1.20244229846419E-05, N/A , N/A
4.0 m, 4.0 m, 4.0 m, 4.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.11861363431142,2.31877293458917,5.11355396765026,7727.69140625,22.1311650113833,648822,1931283,741317,1000,6.11007820159145E-06,4.82251632436584E-06,9.70689858249076E-07,7.3172404506177E-07,9.62533152557454E-08,0.000677474876054665,2.31138464378199E-05, N/A , N/A
4.0 m, 4.0 m, 5.0 m, 5.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.129338053807891,2.52842415902015,5.05897214639579,7808.6171875,27.4156281572334,813415,2422057,925314,1000,2.70027442288018E-06,2.13089957241706E-06,1.01602076757203E-06,4.86278846949947E-07,7.78816393647668E-08,0.000379508312446875,9.74915432055735E-06, N/A , N/A
5.0 m, 5.0 m, 1.0 m, 1.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.146020114444501,2.85454105883445,5.25274864025379,7727.4921875,10.2772416294,307630,915025,354249,1000,1.36312222288202E-06,1.21690085985676E-06,2.33758289409468E-07,1.74426278004915E-07,2.18413485018685E-08,3.50197569885389E-05,1.70846951931419E-06, N/A , N/A
5.0 m, 5.0 m, 2.0 m, 2.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.140507692247621,2.74677894979566,5.0720825835019,7727.4921875,14.3486662894834,426802,1269696,491651,1000,2.85251728451398E-06,2.25269732336689E-06,2.28940141693005E-07,2.09654087112007E-07,5.38029900317835E-08,0.000152763600858293,7.52584219253425E-06, N/A , N/A
5.0 m, 5.0 m, 3.0 m, 3.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.148332286770899,2.89974161812665,5.08968818012173,7727.4921875,18.7828550106667,569911,1695818,654140,1000,1.07268190614791E-05,8.42364240089413E-06,9.32438599216922E-07,1.28732245578489E-06,1.91023154046178E-07,0.001327645457154,3.85103531898749E-05, N/A , N/A
5.0 m, 5.0 m, 4.0 m, 4.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.136926580349822,2.67677194434004,5.07286594873375,7727.4921875,24.0791551186834,740647,2204489,845647,1000,9.86507596958329E-06,7.81659004259387E-06,4.84085032740046E-07,5.01815468582107E-07,1.81195763808354E-07,0.000567437128307251,2.58884772995217E-05, N/A , N/A
5.0 m, 5.0 m, 5.0 m, 5.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.126786152981914,2.47853715740029,5.03756578173489,7820.4765625,33.1338284571667,938711,2794763,1065608,1000,2.65156709409169E-06,2.09713625518099E-06,5.99643873050826E-07,3.00132614986351E-07,4.55578565252705E-08,0.000278477292594165,1.06847033097494E-05, N/A , N/A
6.0 m, 6.0 m, 1.0 m, 1.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.136913744506095,2.67652101697236,5.34453061440455,7803.25390625,11.1974253360833,327055,972662,378096,1000,8.18458931399705E-06,6.42976009998159E-06,5.25267121091916E-07,5.32895868947874E-07,1.95542167369557E-07,0.000251507875073069,1.91687650825177E-05, N/A , N/A
6.0 m, 6.0 m, 2.5 m, 2.5 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.119717362444629,2.34034966931522,5.00738326980677,7803.25390625,18.1632093045667,544478,1619628,627247,1000,2.52790341922581E-06,3.03526321462464E-06,7.00682632121529E-07,4.35442848798048E-07,1.20611473790041E-07,0.000182048786073223,9.0093638372772E-06, N/A , N/A
6.0 m, 6.0 m, 5.0 m, 5.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.13274938567734,2.59511214186209,5.05775596183847,8147.25390625,36.1241285242667,1061316,3160552,1203879,1000,9.49778883857894E-06,7.48095869616513E-06,6.31663086767323E-07,6.43235049608389E-07,1.95408081979161E-07,0.000862795065944447,3.02053529429732E-05, N/A , N/A
6.0 m, 6.0 m, 7.5 m, 7.5 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.120106733901486,2.34796147550346,5.01402897466958,8616.625,60.9559797056666,1765719,5262622,1976885,1000,3.30055797880728E-06,2.60444321661908E-06,5.25810599798068E-07,4.00307303000731E-07,7.28417327622119E-08,0.000369703121550958,1.23782224435402E-05, N/A , N/A
6.0 m, 6.0 m, 10.0 m, 10.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,-24.9552399531,-487.848933348596,-32.4796983611206,10257.1953125,15.7578678307833,2661309,7937061,2949768,191,1.58870043142691,1.27157503048632,2.34500662727513,3.11415324324184,0.175463914054383,457.283351863023,95.2473921686524, A floating point error has occurred. The following error has been logged:  Detected a non-finite value in AMG Resiudal.Please check your usage and inputs.Command: RunSimulation   command: CommandComplete   error: Server Error , N/A
7.0 m, 7.0 m, 1.0 m, 1.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.135599780551636,2.65083439104346,5.33745207248739,7702.4375,11.6128831499167,344223,1022434,398212,1000,1.36372463327062E-06,1.10994588766194E-06,3.74140580459398E-07,2.77528771645969E-07,1.08918307257783E-07,2.86994600725944E-05,4.56901725235406E-06, N/A , N/A
7.0 m, 7.0 m, 2.5 m, 2.5 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.125199602075448,2.44752174064304,4.99969011677309,7702.4375,20.2282946310667,592666,1762336,682738,1000,5.52006138666358E-06,4.44138726205703E-06,9.67684092492095E-07,5.31838646271205E-07,1.42611429214208E-07,0.000448851134911227,1.62861093466574E-05, N/A , N/A
7.0 m, 7.0 m, 5.0 m, 5.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.111043967776666,2.17079384275417,4.9485302694191,8091.23046875,39.6560915950334,1181774,3518720,1338706,1000,6.02700117750903E-05,5.5625748695825E-05,4.51227413565061E-06,2.94364786837213E-05,1.18649089782046E-06,0.0050702113694413,0.000259238059663568, N/A , N/A
7.0 m, 7.0 m, 7.5 m, 7.5 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.129506701208908,2.53172103994987,5.00775764784113,8679.0859375,66.1354203703,1983671,5912389,2216190,1000,5.86037146986487E-06,4.60859185236493E-06,3.03817840785038E-06,4.31602572725053E-07,1.10390535067784E-07,0.000762758269713736,2.36035970146413E-05, N/A , N/A
7.0 m, 7.0 m, 10.0 m, 10.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,-5.01104543447841,-97.9607158563091,-31.7499576590163,11054.3671875,50.70270077115,3001854,8953672,3318580,502,0.171062170477746,0.14341780082768,0.0530785190481553,0.099626464095685,0.0130487082088038,56.7276547790811,7.57761522781049, A floating point error has occurred. The following error has been logged:  Detected a non-finite value in AMG Resiudal.Please check your usage and inputs.Command: RunSimulation   command: CommandComplete   error: Server Error , N/A
8.0 m, 8.0 m, 1.0 m, 1.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.133002328999823,2.60005692020535,5.33516725962014,7796.66796875,12.1478560232167,363233,1078738,421255,1000,7.77810223722381E-07,1.38334474403284E-06,4.09622947709361E-08,8.77751240334722E-09,1.41148198972181E-08,6.7342037062937E-06,9.61972504311726E-07, N/A , N/A
8.0 m, 8.0 m, 2.5 m, 2.5 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.124028799618057,2.42463377278243,5.04011917158622,7858.71875,21.7424710089667,643963,1914200,742039,1000,2.1851476686953E-06,1.74514463737502E-06,1.53306330306043E-06,4.71262077408122E-07,1.31824554255794E-07,0.00011653505656816,9.03346468062624E-06, N/A , N/A
8.0 m, 8.0 m, 5.0 m, 5.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.132668132107789,2.59352371925783,5.08713700438098,8167.1953125,44.60199939975,1304458,3883862,1476211,1000,2.45587607789727E-05,5.14326158594771E-05,1.1288553338227E-06,0.000268450202568739,6.57322323703551E-07,0.0100948529594431,0.000775014468079423, N/A , N/A
8.0 m, 8.0 m, 7.5 m, 7.5 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,-6.72683951434471,-131.502701959497,-56.6618526829577,9100.68359375,14.59160949025,2204108,6570033,2458739,220,0.868123930038747,0.647527479726263,3.3354622216759,1.26544802217251,0.073330410911791,152.772703609628,38.2729697714691, A floating point error has occurred. The following error has been logged:  Detected a non-finite value in AMG Resiudal.Please check your usage and inputs.Command: RunSimulation   command: CommandComplete   error: Server Error , N/A
8.0 m, 8.0 m, 10.0 m, 10.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.13468524221394,2.63295611965076,5.32349833999364,11779.97265625,113.8860724185,3345803,9980504,3691327,1000,7.58375645938948E-05,0.000101762921903228,1.8915746061567E-05,0.00199430087867726,1.86682454755588E-06,0.0282744085619147,0.00329522857383625, N/A , N/A
9.0 m, 9.0 m, 1.0 m, 1.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.151463054914451,2.96094487252388,5.32007713129849,7689.9375,12.7126323819167,380795,1130631,443012,1000,1.49072042090836E-06,1.21710800852442E-06,3.96128626657013E-07,2.4358839825871E-07,1.06182116976928E-07,3.23186531286394E-05,4.93659429615943E-06, N/A , N/A
9.0 m, 9.0 m, 2.5 m, 2.5 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.117304001994653,2.29317098766283,5.03199852690313,7757.921875,23.7685966179667,692714,2059061,799025,1000,1.49960971968282E-06,1.22630855981241E-06,4.5237214407804E-07,1.92560021105659E-07,6.28862842348532E-08,5.43976899423496E-05,4.54289166941653E-06, N/A , N/A
9.0 m, 9.0 m, 5.0 m, 5.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.151798483539617,2.96750215257047,5.0603261277912,8211.65625,47.5468243800167,1425985,4245780,1612694,1000,0.000163955601867334,0.000156604746212708,9.3886007213331E-06,0.000172501641109172,3.30510428227588E-06,0.00767822994884073,0.000452171593472963, N/A , N/A
9.0 m, 9.0 m, 7.5 m, 7.5 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.092826619013396,1.81466366010303,5.04669063695184,9618.6640625,82.1276289427999,2423187,7223689,2699949,1000,0.00010577734922915,0.000110081202353724,9.55810733564791E-06,0.0019472202783884,2.15196955724601E-06,0.0354083765464254,0.00352699675240765, N/A , N/A
9.0 m, 9.0 m, 10.0 m, 10.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,-0.0344585582449195,-0.673628901830142,6.65091375016212,12564.19921875,126.1297632313,3686554,10998681,4061543,1000,4.42748282663585E-05,0.000142761602596062,4.41778788754893E-05,0.00314485319810722,3.9255123355712E-06,0.152426472844382,0.00806475215337479, N/A ,Disregard this data - despite having no error it is outside of the usable range,
10.0 m, 10.0 m, 1.0 m, 1.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.134292461769833,2.62527767131454,5.326469551486,7677.62890625,13.610937652,400981,1189930,466912,1000,1.06928914508786E-05,8.43176491487302E-06,4.12099758938942E-07,5.24141812299658E-07,2.13255839584418E-07,0.000402551634004352,2.27550372834573E-05, N/A , N/A
10.0 m, 10.0 m, 2.5 m, 2.5 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.118769528852564,2.3218205103991,4.9671347587571,7745.42578125,25.1639162467667,744262,2212022,858681,1000,1.03155331115784E-05,8.17106480042797E-06,9.21625156468477E-07,7.32802304051321E-07,2.11553675497692E-07,0.000649361360355751,3.30619534106179E-05, N/A , N/A
10.0 m, 10.0 m, 5.0 m, 5.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.102134586820546,1.99662473019874,4.90401323331904,8335.8046875,52.3015612856999,1551067,4618522,1752996,1000,6.71267137290088E-05,0.000108182729867886,5.4898196860969E-06,0.000978521923036528,1.46609497381871E-06,0.00434040960888447,0.00024225785574639, N/A , N/A
10.0 m, 10.0 m, 7.5 m, 7.5 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,0.0850984492433768,1.66358599520674,5.11840974738884,10152.39453125,88.5185943976167,2644939,7885319,2943713,1000,8.6333578483072E-05,0.000190311176324549,0.000750118553976562,0.00340966936989817,1.20665381493268E-05,0.162629587853135,0.0123926265599807, N/A , N/A
10.0 m, 10.0 m, 10.0 m, 10.0 m, 50.0 mm, 100.0 mm, 1.0 mm, 50.0 mm, 30.0 mm,-6.62432995469521,-129.49874690128,-51.4515810756321,13311.578125,28.9790374843333,4030677,12026112,4434416,231,0.897447473783822,0.672020684722135,6.25245000642465,1.66646851884856,0.0700038271088335,190.690066935311,30.5994907285622, A floating point error has occurred. The following error has been logged:  Detected a non-finite value in AMG Resiudal.Please check your usage and inputs.Command: RunSimulation   command: CommandComplete   error: Server Error , N/A
