Corner 1 Offset, Corner 2 Offset, Mesh Base, Mesh Min, Mesh Max Tet, Mesh Target, Prism Layer Thickness, DF CIA [], DF [N], Drag [N], Maximum Memory [MiB], Total Solver Elapsed Time [min], Cell Count, Face Count, Vertex Count, Iteration, Continuity, Energy, Tdr, Tke, X-momentum, Y-momentum, Z-momentum, Error, Comment
-4.0 / 0.0 / 0.0 m, 4.0 / 2.0 / 2.0 m, 50.0 mm, 1.0 mm, 100.0 mm, 50.0 mm, 30.0 mm,0.13289218789284,2.59790377635017,5.11910227801508,7673.859375,12.4333392254833,386262,1149468,444314,1000,1.23101940140793E-06,1.08943992365906E-06,3.24883373362831E-07,2.22336088458232E-07,5.21313052036388E-08,6.32250251551915E-05,3.81543941918489E-06, N/A , N/A
-4.0 / 0.0 / 0.0 m, 4.0 / 3.0 / 3.0 m, 50.0 mm, 1.0 mm, 100.0 mm, 50.0 mm, 30.0 mm,0.136752865092342,2.67337599209804,5.0727449761154,7673.859375,16.8349951365833,507519,1510507,582297,1000,3.9308730643037E-06,3.09587026545162E-06,9.02704962492037E-07,6.20183146722424E-07,1.26957815321084E-07,0.000248241136335649,1.20244229846419E-05, N/A , N/A
-4.0 / 0.0 / 0.0 m, 4.0 / 4.0 / 4.0 m, 50.0 mm, 1.0 mm, 100.0 mm, 50.0 mm, 30.0 mm,0.11861363431142,2.31877293458917,5.11355396765026,7673.859375,21.8487602472333,648822,1931283,741317,1000,6.11007820159145E-06,4.82251632436584E-06,9.70689858249076E-07,7.3172404506177E-07,9.62533152557454E-08,0.000677474876054665,2.31138464378199E-05, N/A , N/A
-4.0 / 0.0 / 0.0 m, 4.0 / 5.0 / 5.0 m, 50.0 mm, 1.0 mm, 100.0 mm, 50.0 mm, 30.0 mm,0.129338053807891,2.52842415902015,5.05897214639579,7753.58203125,27.0967287877,813415,2422057,925314,1000,2.70027442288018E-06,2.13089957241706E-06,1.01602076757203E-06,4.86278846949947E-07,7.78816393647668E-08,0.000379508312446875,9.74915432055735E-06, N/A , N/A
-5.0 / 0.0 / 0.0 m, 5.0 / 1.0 / 1.0 m, 50.0 mm, 1.0 mm, 100.0 mm, 50.0 mm, 30.0 mm,0.146020114444501,2.85454105883445,5.25274864025379,7672.45703125,10.2073386354667,307630,915025,354249,1000,1.36312222288202E-06,1.21690085985676E-06,2.33758289409468E-07,1.74426278004915E-07,2.18413485018685E-08,3.50197569885389E-05,1.70846951931419E-06, N/A , N/A
-5.0 / 0.0 / 0.0 m, 5.0 / 2.0 / 2.0 m, 50.0 mm, 1.0 mm, 100.0 mm, 50.0 mm, 30.0 mm,0.140507692247621,2.74677894979566,5.0720825835019,7672.45703125,14.2761655582833,426802,1269696,491651,1000,2.85251728451398E-06,2.25269732336689E-06,2.28940141693005E-07,2.09654087112007E-07,5.38029900317835E-08,0.000152763600858293,7.52584219253425E-06, N/A , N/A
-5.0 / 0.0 / 0.0 m, 5.0 / 3.0 / 3.0 m, 50.0 mm, 1.0 mm, 100.0 mm, 50.0 mm, 30.0 mm,0.148332286770899,2.89974161812665,5.08968818012173,7672.45703125,18.6841506514667,569911,1695818,654140,1000,1.07268190614791E-05,8.42364240089413E-06,9.32438599216922E-07,1.28732245578489E-06,1.91023154046178E-07,0.001327645457154,3.85103531898749E-05, N/A , N/A
-5.0 / 0.0 / 0.0 m, 5.0 / 4.0 / 4.0 m, 50.0 mm, 1.0 mm, 100.0 mm, 50.0 mm, 30.0 mm,0.136926580349822,2.67677194434004,5.07286594873375,7672.45703125,23.968185092,740647,2204489,845647,1000,9.86507596958329E-06,7.81659004259387E-06,4.84085032740046E-07,5.01815468582107E-07,1.81195763808354E-07,0.000567437128307251,2.58884772995217E-05, N/A , N/A
-5.0 / 0.0 / 0.0 m, 5.0 / 5.0 / 5.0 m, 50.0 mm, 1.0 mm, 100.0 mm, 50.0 mm, 30.0 mm,0.126786152981914,2.47853715740029,5.03756578173489,7858.37109375,32.0497230549667,938711,2794763,1065608,1000,2.65156709409169E-06,2.09713625518099E-06,5.99643873050826E-07,3.00132614986351E-07,4.55578565252705E-08,0.000278477292594165,1.06847033097494E-05, N/A , N/A
-5.0 / 0.0 / 0.0 m, 5.0 / 7.5 / 7.5 m, 50.0 mm, 1.0 mm, 100.0 mm, 50.0 mm, 30.0 mm,-2.05494090949578,-40.1719531719981,-53.7411571005154,8328.828125,17.4916522008167,1544634,4602794,1733430,382,0.18466335661738,0.160675243032089,0.0586075943031518,0.113631501099988,0.0129736260320285,54.2799766174692,3.10434345007089, A floating point error has occurred. The following error has been logged:  Detected a non-finite value in AMG Resiudal.Please check your usage and inputs.Command: RunSimulation   command: CommandComplete   error: Server Error , N/A
-5.0 / 0.0 / 0.0 m, 5.0 / 10.0 / 10.0 m, 50.0 mm, 1.0 mm, 100.0 mm, 50.0 mm, 30.0 mm,0.125275110513098,2.44899785190606,5.07431007989249,9314.5859375,80.4727117005334,2318267,6912670,2577259,1000,8.69377345656812E-06,6.83042165640555E-06,1.04598012484524E-06,1.19411823757283E-06,1.41892751008661E-07,0.00120935195783008,5.31018294059883E-05, N/A , N/A
-7.5 / 0.0 / 0.0 m, 7.5 / 5.0 / 5.0 m, 50.0 mm, 1.0 mm, 100.0 mm, 50.0 mm, 30.0 mm,0.127013779404183,2.48298701672901,5.06408736849904,8131.12109375,40.7380175335501,1242149,3698708,1406626,1000,1.04111561647574E-05,8.18051684084891E-06,4.68185535468577E-07,7.1549693275719E-07,1.72910926723952E-07,0.00122053744958047,4.80546022316455E-05, N/A , N/A
-7.5 / 0.0 / 0.0 m, 7.5 / 7.5 / 7.5 m, 50.0 mm, 1.0 mm, 100.0 mm, 50.0 mm, 30.0 mm,0.123778510449622,2.41974088038472,4.95001635207431,9025.28125,69.18220115265,2092345,6236940,2336230,1000,4.59602744362406E-05,6.83826874431642E-05,8.1298858751357E-06,0.000226582790347743,6.84978009175379E-07,0.0111891249892546,0.000684022971435526, N/A , N/A
