Front Offset, Back Offset, Side Offset, Top Offset, Ahmed Target Size, Mesh Base, Mesh Max Tet, Mesh Min, Mesh Target, Prism Layer Thickness, cd*A [], cl*A [], Drag [N], Lift [N], Maximum Memory [MiB], Total Solver Elapsed Time [min], Total Meshing Time [min], Cell Count, Face Count, Vertex Count, Iteration, Continuity, X-momentum, Y-momentum, Z-momentum, Tdr, Tke, Error, Comment
4.0 m, 9.0 m, 2.0 m, 3.0 m, 5.0 mm, 300.0 mm, 350.0 mm, 3.0 mm, 140.0 mm, 20.0 mm,0.292779562168368,0.382570310185312,16.5020536633056,21.5629661507417,4240.45703125,22.0569982439,1.10888333333333,1473874,4395783,1551441,1000,7.72877359631319E-06,1.62458183651439E-05,3.30994837080526E-05,2.09304715018237E-05,0.00188875794709749,9.36730824749965E-05, N/A , N/A
4.0 m, 9.0 m, 2.0 m, 3.0 m, 5.0 mm, 300.0 mm, 350.0 mm, 3.0 mm, 145.0 mm, 20.0 mm,0.291334703208839,0.368288808327613,16.420616489517,20.7580120470368,4213.83984375,20.302456128,1.02908333333333,1355193,4042038,1429262,1000,2.02634797396925E-05,3.04512697204098E-05,9.996629319909E-05,6.68568395381974E-05,0.00135929155616813,0.000198744144373446, N/A , N/A
4.0 m, 9.0 m, 2.0 m, 3.0 m, 5.0 mm, 300.0 mm, 350.0 mm, 3.0 mm, 150.0 mm, 20.0 mm,3.95930839644812,0.225145347159746,223.160111122068,12.6899588665179,4191.37890625,18.3799663331,1.02048333333333,1287380,3841099,1359336,1000,0.0828937442956928,0.465415529486122,0.920214669899329,1.20855422302707,11555.8243209869,193.821934950426, N/A ,, Results outside of expected / usable range,, please ignore.,
4.0 m, 9.0 m, 2.0 m, 3.0 m, 5.0 mm, 300.0 mm, 350.0 mm, 3.0 mm, 155.0 mm, 20.0 mm,0.287838522618892,0.350763951010614,16.2235598395083,19.7702513790959,4196.625,18.3184221024166,1.0143,1227831,3664127,1297411,1000,1.51156682461157E-05,1.66924333142114E-05,6.86392418130604E-05,3.62535898447174E-05,0.00451873906618825,0.000138716878606117, N/A , N/A
4.0 m, 9.0 m, 2.0 m, 3.0 m, 5.0 mm, 300.0 mm, 350.0 mm, 3.0 mm, 160.0 mm, 20.0 mm,0.290987039776105,0.373288171167563,16.4010209939119,21.0397931702005,4185.125,17.0643300962333,0.955083333333333,1165516,3478490,1232749,1000,1.73092885573187E-05,2.62281272937089E-05,7.64544202279449E-05,4.19432856251657E-05,0.000224285024025861,8.8325417195131E-05, N/A , N/A
4.0 m, 9.0 m, 2.0 m, 3.0 m, 5.0 mm, 300.0 mm, 350.0 mm, 3.0 mm, 165.0 mm, 20.0 mm,0.296213046348987,0.392093365105562,16.6955765300695,22.0997179723808,4194.17578125,16.2239686175,0.92895,1111084,3316251,1175093,1000,4.01162203791242E-05,3.96384196941585E-05,0.000109766400291277,7.71164730951622E-05,0.000551854571745053,0.000173291817734781, N/A , N/A
4.0 m, 9.0 m, 2.0 m, 3.0 m, 5.0 mm, 300.0 mm, 350.0 mm, 3.0 mm, 170.0 mm, 20.0 mm,0.295120552314395,0.390484509116329,16.6339998440052,22.0090373672381,4182.15234375,15.2284662601834,0.92625,1053405,3144374,1115579,1000,0.000276621758319062,0.000143341373097211,0.000633075193105301,0.000454045130155078,0.00926623808534001,0.00231634708603447, N/A , N/A
4.0 m, 9.0 m, 2.0 m, 3.0 m, 5.0 mm, 300.0 mm, 350.0 mm, 3.0 mm, 175.0 mm, 20.0 mm,0.295346870284972,0.366492635245127,16.6467558959228,20.6567736123037,4204.90234375,15.6077821072,1.00261666666667,1079284,3221881,1144045,1000,0.000167415280596753,0.000188042728886377,0.000437744768281321,0.000337606156207613,0.000271954132703466,0.000983611522807007, N/A , N/A
4.0 m, 9.0 m, 2.0 m, 3.0 m, 5.0 mm, 300.0 mm, 350.0 mm, 3.0 mm, 180.0 mm, 20.0 mm,0.29703677672652,0.380915346137092,16.7420047807078,21.4696867382981,4215.6796875,15.1057098786,0.962416666666667,1040941,3109011,1105251,1000,0.000415872461345864,0.000585060832793598,0.00158095808181898,0.000991115570465272,0.00043583051450118,0.000834467696113442, N/A , N/A
4.0 m, 9.0 m, 2.0 m, 3.0 m, 5.0 mm, 300.0 mm, 350.0 mm, 3.0 mm, 185.0 mm, 20.0 mm,0.298843216669719,0.397710375513883,16.8438218906913,22.4163118169066,4223.69140625,15.8312384258834,0.955016666666667,1068111,3191471,1133498,1000,0.000431516501291215,0.000494346867518596,0.00185476133937791,0.000990639854196588,0.000671668333329382,0.00435271996320948, N/A , N/A
4.0 m, 9.0 m, 2.0 m, 3.0 m, 5.0 mm, 300.0 mm, 350.0 mm, 3.0 mm, 190.0 mm, 20.0 mm,0.292248620721212,0.397234339411697,16.4721279943547,22.3894808002682,4237.69921875,16.6139875206,0.966616666666667,1119521,3342870,1184255,1000,0.000439187221755016,0.000439098802321022,0.00167281185291377,0.000787690347127424,0.000619895968961184,0.0053597582940062, N/A , N/A
4.0 m, 9.0 m, 2.0 m, 3.0 m, 5.0 mm, 300.0 mm, 350.0 mm, 3.0 mm, 195.0 mm, 20.0 mm,0.294267527189383,0.39128504224425,16.5859204415878,22.0541581418521,4060.3359375,16.8855250339667,1.05936666666667,1165079,3482285,1235739,1000,0.000400690646216771,0.000389088146252992,0.00140683931644868,0.000802390772632547,0.000706773433777168,0.0012535569808913, N/A , N/A
4.0 m, 9.0 m, 2.0 m, 3.0 m, 5.0 mm, 300.0 mm, 350.0 mm, 3.0 mm, 200.0 mm, 20.0 mm,0.296483232610672,0.375137866255971,16.7108051483391,21.1440482875442,4130.3359375,17.4294054402,1.02156666666667,1213381,3626674,1286816,1000,0.000325603118758594,0.000277354401305398,0.000843358676239269,0.000519688510553252,0.000285363288640362,0.00202126345878684, N/A , N/A
4.0 m, 9.0 m, 2.0 m, 3.0 m, 5.0 mm, 300.0 mm, 350.0 mm, 3.0 mm, 205.0 mm, 20.0 mm,0.293283703350303,0.403775125119647,16.5304687779965,22.7581417681082,4108.9375,18.7203293195166,0.96975,1271491,3803425,1349021,1000,0.000408990852556221,0.000166159828773325,0.00107569637735794,0.000586054867450597,0.0121458048733245,0.00150487903187052, N/A , N/A
4.0 m, 9.0 m, 2.0 m, 3.0 m, 5.0 mm, 300.0 mm, 350.0 mm, 3.0 mm, 210.0 mm, 20.0 mm,0.295512354195188,0.403104856499953,16.6560831329286,22.7203631450065,4158.98046875,19.1536876952833,0.953083333333333,1305368,3905951,1385325,1000,0.000499975024879663,0.00026122247084631,0.00139517218006841,0.000639042965277846,0.00306855147654122,0.00196853890691172, N/A , N/A
